Date,Open,High,Low,Close,Adj Close,Volume
2013-10-01,117.970001,131.880005,113.339996,130.500000,111.129654,102075200
2013-11-01,130.899994,142.000000,130.580002,134.250000,114.323044,88250600
2013-12-01,134.990005,138.880005,130.550003,136.490005,116.654099,78680000
2014-01-01,136.009995,144.570007,123.080002,125.260002,107.056152,113971400
2014-02-01,124.239998,130.940002,118.769997,128.919998,110.184227,119986800
2014-03-01,127.180000,131.000000,121.370003,125.489998,107.857635,97798400
2014-04-01,126.239998,131.500000,121.919998,129.020004,110.891663,77966900
2014-05-01,128.740005,135.440002,128.270004,135.250000,116.246269,61514500
2014-06-01,135.500000,138.389999,126.199997,127.230003,109.966759,78754100
2014-07-01,127.660004,130.580002,120.410004,120.480003,104.132622,111816600
2014-08-01,120.449997,129.130005,117.870003,126.800003,109.595085,79247500
2014-09-01,125.620003,129.869995,124.099998,127.379997,110.763145,75364300
2014-10-01,127.370003,128.000000,116.320000,124.910004,108.615372,107425800
2014-11-01,125.349998,135.779999,123.370003,134.360001,116.832596,72415400
2014-12-01,134.309998,134.399994,120.580002,129.979996,113.683464,96842100
2015-01-01,131.070007,148.250000,126.180000,145.369995,127.143890,109099900
2015-02-01,143.720001,158.830002,143.050003,150.850006,131.936829,92535100
2015-03-01,150.850006,156.910004,145.960007,150.080002,132.075211,81607600
2015-04-01,149.970001,155.500000,142.750000,143.339996,126.143776,84509000
2015-05-01,144.410004,148.300003,140.320007,140.520004,123.662125,79306200
2015-06-01,141.449997,146.529999,138.440002,138.720001,122.860397,70463300
2015-07-01,140.479996,149.179993,139.000000,144.169998,127.687332,70138100
2015-08-01,144.440002,146.770004,115.139999,130.679993,115.739594,92795600
2015-09-01,128.160004,139.910004,126.940002,130.949997,116.718689,81291700
2015-10-01,131.320007,149.600006,128.559998,148.070007,131.978149,92079800
2015-11-01,148.380005,150.589996,141.589996,145.449997,129.642853,52884600
2015-12-01,146.539993,149.800003,138.889999,144.589996,129.673172,79703200
2016-01-01,141.380005,141.699997,115.019997,120.129997,107.736603,135869300
2016-02-01,119.639999,124.910004,102.099998,118.180000,105.987770,153197300
2016-03-01,119.010002,136.779999,118.250000,126.940002,114.897537,107857100
2016-04-01,126.230003,137.889999,125.110001,134.800003,122.011856,96194200
2016-05-01,134.380005,135.240005,125.879997,126.150002,114.182472,82271600
2016-06-01,126.000000,134.550003,122.349998,129.869995,118.508385,102673100
2016-07-01,129.539993,139.449997,123.959999,133.660004,121.966827,76110800
2016-08-01,133.210007,136.369995,129.139999,129.449997,118.125145,61479300
2016-09-01,130.029999,133.080002,126.309998,131.740005,121.211029,71556000
2016-10-01,131.279999,146.229996,130.740005,142.429993,131.046661,80980500
2016-11-01,142.949997,153.080002,138.800003,150.559998,138.526917,73758100
2016-12-01,150.740005,160.070007,150.020004,155.679993,144.337662,63386600
2017-01-01,156.300003,170.000000,155.210007,163.419998,151.513733,73378000
2017-02-01,164.250000,181.929993,160.820007,180.229996,167.098999,67320300
2017-03-01,181.850006,185.710007,173.750000,176.860001,165.385040,71329400
2017-04-01,177.080002,184.929993,175.500000,184.830002,172.837952,52177700
2017-05-01,184.229996,188.259995,175.470001,187.630005,175.456268,66022900
2017-06-01,187.410004,204.389999,184.529999,197.750000,186.335297,64606400
2017-07-01,198.070007,246.490005,197.750000,242.460007,228.464523,75175600
2017-08-01,243.380005,243.990005,230.940002,239.660004,225.826141,84525400
2017-09-01,239.660004,259.299988,234.289993,254.210007,240.964951,76743100
2017-10-01,254.649994,267.209991,253.529999,257.980011,244.538544,68772900
2017-11-01,258.290009,277.040009,256.239990,276.799988,262.377960,52751800
2017-12-01,277.510010,299.329987,270.600006,294.910004,281.047119,71520900
2018-01-01,295.750000,360.970001,295.399994,354.369995,337.712097,125945500
2018-02-01,352.950012,371.600006,317.390015,362.209991,345.183563,116097000
2018-03-01,362.329987,362.739990,311.170013,327.880005,314.009735,138587800
2018-04-01,325.200012,347.670013,311.880005,333.559998,319.449493,103765100
2018-05-01,332.500000,365.000000,319.130005,352.160004,337.262634,85713100
2018-06-01,355.790009,374.480011,327.290009,335.510010,322.919800,84391800
2018-07-01,330.690002,364.540009,329.100006,356.299988,342.929688,60241500
2018-08-01,354.089996,357.910004,328.029999,342.790009,329.926697,62969600
