"Date","company_name","USA_Dollar","Brazil_Real","China_Yuan","Germany_Euro","UK_Pound","India_Rupee","Japan_Yen","Mexico_Peso","Close","CPI","Real_Stock_Price"
2013-10-01,"Adv. Micro Devices",99.7199347549049,103.824421525976,127.587375326566,94.4143953037942,86.3580112034897,103.043560990436,100.254605409715,96.4509198092636,3.34,233.669,1.42937231725218
2013-11-01,"Adv. Micro Devices",100.655216024266,100.680110495117,128.675096738304,94.5964271807422,86.9917121227318,103.162292504335,98.8915132763233,96.6477198794736,3.64,234.1,1.55489107219137
2013-12-01,"Adv. Micro Devices",101.125073574623,98.8295761705689,129.555378699827,95.4895027087944,88.162066926722,103.157230042641,95.296307522786,97.2638001894739,3.87,234.719,1.64878003058977
2014-01-01,"Adv. Micro Devices",102.227806612204,98.6074352062427,130.73456305964,95.4134390872955,89.2797299172463,102.743180527971,95.2074007748297,96.7112717207796,3.43,235.288,1.45778790248546
2014-02-01,"Adv. Micro Devices",102.35732734402,99.2906972610771,130.197481945091,95.6422392645786,88.2081979146036,103.398538714943,96.7870689565264,95.9772054029623,3.71,235.547,1.57505720726649
2014-03-01,"Adv. Micro Devices",101.929514574607,102.056896183074,129.02241462981,95.8203084312302,89.2363259052414,105.306004589759,96.1088536759445,96.3957787289937,4.01,236.028,1.69895097191859
2014-04-01,"Adv. Micro Devices",101.242044578307,106.363708838163,127.513703050801,95.244219341403,89.6892626012613,106.784475171007,97.0099027197529,97.3444187424812,4.09,236.468,1.72962092122401
2014-05-01,"Adv. Micro Devices",100.809743116226,107.36586948574,127.547923425864,94.5900048217953,90.3475865830128,109.025031696436,97.7981201445468,98.3825847506137,4,236.918,1.68834786719456
2014-06-01,"Adv. Micro Devices",100.959485596173,107.332626059,128.025215704418,94.2660789835349,91.4307962110299,108.991022498232,97.6597647112887,98.3720564795264,4.19,237.231,1.76621099266116
2014-07-01,"Adv. Micro Devices",100.933000995483,108.281010622145,127.957016333373,94.1344959594288,91.4879951570396,109.607155461493,97.0530287985449,98.7008992078583,3.91,237.498,1.64632965330234
2014-08-01,"Adv. Micro Devices",101.745405083533,107.388633328872,128.964196867608,93.6536554173301,91.55678945797,109.555224007824,97.5148900904978,98.1037458468838,4.17,237.46,1.75608523540807
2014-09-01,"Adv. Micro Devices",103.549752804069,106.866651941903,131.547959215003,92.893016847341,91.3272173846096,111.774601804848,94.643692937171,98.6136911234113,3.41,237.477,1.43592853202626
2014-10-01,"Adv. Micro Devices",105.06161906391,102.892043502296,133.565655357822,92.4509245753566,91.4039252791786,112.071378939567,94.6054428246608,97.3709271531779,2.8,237.43,1.17929495009055
2014-11-01,"Adv. Micro Devices",106.974700030442,100.65210184569,136.779136895422,92.7460840420006,92.3678162348291,113.686540915922,88.7389097929216,97.6797018532687,2.79,236.983,1.17729963752674
2014-12-01,"Adv. Micro Devices",109.091495380167,99.1594684006668,139.613491793608,93.0089986875161,91.8671999191501,114.563133522153,87.416008067239,92.9142839672917,2.67,236.252,1.13014916275841
2015-01-01,"Adv. Micro Devices",111.289819269268,102.470222482923,141.875300664867,90.6324677993941,92.6073679419079,119.39771401337,89.9800532130072,92.3335799832138,2.57,234.747,1.09479567364013
2015-02-01,"Adv. Micro Devices",113.03943938083,97.908890730055,142.875069567783,89.8017189656292,94.2766137177837,121.109584896738,90.1769654449434,91.0452059165472,3.11,235.342,1.3214810786005
2015-03-01,"Adv. Micro Devices",115.476651632756,90.8044529162448,144.979013788744,88.247537387011,94.7441183804001,123.176852087624,90.0774027485334,90.1554322262688,2.68,235.976,1.13570871614062
2015-04-01,"Adv. Micro Devices",114.674789226564,92.7217511736042,144.586872422242,87.9640660576845,94.5215113765664,122.310667577563,90.4014332651905,89.9596417227562,2.26,236.222,0.956727146497786
2015-05-01,"Adv. Micro Devices",113.513975463833,92.3064041421115,143.872710889617,88.9811227728295,95.8063747033561,118.835435875627,88.6797301325637,89.2750252877538,2.28,237.001,0.962021257294273
2015-06-01,"Adv. Micro Devices",114.688578015056,91.4875738466543,145.325227404978,89.510785256138,96.450036785762,120.145959104434,86.5602132846863,88.4090824681811,2.4,237.657,1.0098587460079
2015-07-01,"Adv. Micro Devices",116.768243756925,90.2047827769971,146.974321378835,88.8795617012728,97.9488878395294,121.133018206521,87.7608949307314,86.4864262640954,1.93,238.034,0.810808539956477
2015-08-01,"Adv. Micro Devices",118.357698498245,83.5902622360668,144.187203145652,90.2222688215881,98.3096231939136,120.000832829657,88.8251766109742,83.8511803365354,1.81,238.033,0.760398768238017
