Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,55.956284,64.761902,51.459797,62.326309,61.349258,199862146
2019-11-01,62.950821,73.942230,62.825916,70.382515,69.279160,175195133
2019-12-01,70.632317,72.443405,67.197502,69.695549,68.602959,165996400
2020-01-01,70.132706,81.186569,70.132706,77.751755,76.602257,239054215
2020-02-01,77.814209,82.810303,61.576893,67.946915,66.942398,188182599
2020-03-01,70.007805,71.069473,36.846214,49.586262,48.853180,408902485
2020-04-01,46.963310,48.399689,38.719749,42.466824,41.880543,403778422
2020-05-01,41.654957,46.775955,34.223263,41.030445,40.463997,404432263
2020-06-01,41.092896,53.520687,40.093678,42.654175,42.065308,364673604
2020-07-01,43.278690,45.027321,37.470726,37.907883,37.440598,281694815
2020-08-01,38.345043,43.715847,37.595627,39.594067,39.105988,250595384
2020-09-01,39.156910,44.839970,37.033569,38.907104,38.427498,384872128
2020-10-01,39.156910,50.148323,37.782982,46.338799,45.843224,398586417
2020-11-01,46.838406,67.759560,45.776737,63.575333,62.895424,361479067
2020-12-01,64.512100,71.756439,62.513660,67.447304,66.726006,282546120
2021-01-01,68.009369,76.377831,64.949257,66.697891,66.045288,269991421
2021-02-01,67.822014,83.372368,66.448090,78.313820,77.547569,199302288
2021-03-01,80.686966,90.054642,74.629196,81.998436,81.196129,375357436
2021-04-01,82.622948,87.431694,79.750198,81.935989,81.194122,198337903
2021-05-01,82.685402,89.929741,79.437943,87.806404,87.011406,211727667
2021-06-01,88.868073,89.742386,79.625290,84.059326,83.298233,188455196
2021-07-01,84.808746,85.121002,73.817329,80.874313,80.203056,195746585
2021-08-01,81.561279,83.708038,76.588600,82.287277,81.604286,259379444
2021-09-01,82.248245,83.809525,75.105385,80.429352,79.761780,271028475
2021-10-01,81.327087,86.627632,78.985168,81.865730,81.249367,175708495
2021-11-01,82.560501,90.686966,73.747070,74.153008,73.594719,213972094
2021-12-01,75.370804,77.236534,68.829041,73.747070,73.191833,161925833
2022-01-01,74.332550,80.975800,68.735359,73.754883,73.263680,184460928
2022-02-01,74.160812,79.555038,68.462135,74.558937,74.062386,170742184
2022-03-01,74.129585,75.121002,66.580795,71.428574,70.952873,185220432
2022-04-01,71.896957,73.208427,58.040592,58.196720,57.861061,186431488
2022-05-01,57.837627,63.052303,55.534737,61.116314,60.763821,178985803
2022-06-01,61.733021,62.014053,48.212334,49.703358,49.416687,190537220
2022-07-01,49.562843,58.469944,46.783764,57.697113,57.432835,180923701
2022-08-01,57.220921,63.466042,56.744732,57.330212,57.067612,162417348
2022-09-01,57.181889,59.711163,48.306011,48.329430,48.108055,179641805
2022-10-01,48.992973,61.561279,48.516785,60.741608,60.538410,163760479
2022-11-01,61.327087,68.992973,59.773613,67.111633,66.887131,148623415
2022-12-01,67.298988,67.993752,59.867290,65.409836,65.191025,154746594
2023-01-01,65.612801,83.989998,65.214676,80.480003,80.288277,192435233
2023-02-01,80.269997,85.650002,80.010002,84.709999,84.508202,108604900
2023-03-01,84.660004,95.669998,83.379997,95.599998,95.372253,203720700
2023-04-01,95.750000,102.010002,93.470001,98.970001,98.825752,123823000
2023-05-01,99.489998,105.940002,97.410004,101.529999,101.382019,116397700
2023-06-01,101.209999,110.260002,101.070000,109.849998,109.689888,113830000
2023-07-01,109.059998,117.959999,106.860001,114.239998,114.073494,101076500
2023-08-01,113.690002,115.849998,110.019997,114.459999,114.377686,87837700
2023-09-01,115.019997,117.669998,109.750000,110.550003,110.470505,82316600
2023-10-01,110.449997,114.889999,105.529999,108.629997,108.629997,114371000
2023-11-01,108.300003,121.839996,105.830002,121.800003,121.800003,96925500
2023-12-01,121.699997,123.250000,119.699997,119.809998,119.809998,14418600
