Date,Open,High,Low,Close,Adj Close,Volume
2013-10-01,36.750000,38.900002,36.470001,37.869999,24.527300,93619700
2013-11-01,37.930000,38.919998,32.389999,32.630001,21.133507,119712100
2013-12-01,32.910000,33.020000,31.290001,32.980000,21.672886,95470500
2014-01-01,32.959999,33.040001,30.230000,31.490000,20.693729,103097300
2014-02-01,31.520000,32.430000,30.100000,30.780001,20.227146,62467500
2014-03-01,30.680000,34.279999,30.420000,34.029999,22.626167,72353000
2014-04-01,34.130001,34.830002,33.009998,33.750000,22.439989,69793500
2014-05-01,33.810001,34.209999,31.170000,33.820000,22.486532,107512800
2014-06-01,33.880001,35.590000,33.419998,34.720001,23.336924,72336200
2014-07-01,34.630001,34.759998,31.120001,31.209999,20.977690,75763500
2014-08-01,31.120001,34.250000,29.980000,34.240002,23.014292,67584200
2014-09-01,34.240002,34.950001,33.349998,33.570000,22.828550,52483200
2014-10-01,33.570000,37.639999,33.040001,37.340000,25.392250,81011400
2014-11-01,37.340000,37.720001,35.689999,36.880001,25.079437,55328200
2014-12-01,36.740002,40.840000,36.470001,38.990002,26.775372,65110800
2015-01-01,39.099998,41.680000,37.930000,40.330002,27.695602,59143500
2015-02-01,40.380001,41.230000,34.680000,34.980000,24.021616,81897700
2015-03-01,35.200001,36.570000,33.820000,35.060001,24.292818,83551600
2015-04-01,34.689999,36.590000,34.070000,35.910000,24.881771,63694500
2015-05-01,36.090000,37.049999,34.369999,35.680000,24.722404,47912600
2015-06-01,35.810001,35.900002,32.459999,32.549999,22.777386,56978800
2015-07-01,32.660000,34.730000,32.099998,33.959999,23.764057,47869800
2015-08-01,34.020000,35.090000,31.469999,31.959999,22.364525,72514300
2015-09-01,31.700001,32.169998,30.309999,31.309999,22.146183,76117000
2015-10-01,31.360001,33.000000,30.139999,31.200001,22.068380,77454300
2015-11-01,31.209999,31.740000,28.889999,31.389999,22.202768,80016100
2015-12-01,31.590000,32.990002,30.790001,31.730000,22.706352,100479600
