"Date","company_name","USA_Dollar","Brazil_Real","China_Yuan","Germany_Euro","UK_Pound","India_Rupee","Japan_Yen","Mexico_Peso","Real_Stock_Price"
2013-11-01,"Adv. Micro Devices",0.935281269360758,-3.14431103085853,1.08772141173783,0.182031876948017,0.633700919242102,0.118731513898467,-1.36309213339136,0.196800070209989,0.12551875493919
2013-12-01,"Adv. Micro Devices",0.46985755035729,-1.85053432454839,0.880281961522769,0.893075528052165,1.17035480399016,-0.00506246169348401,-3.59520575353731,0.616080310000285,0.093888958398398
2014-01-01,"Adv. Micro Devices",1.10273303758079,-0.222140964326172,1.17918435981363,-0.0760636214989034,1.11766299052429,-0.414049514669856,-0.08890674795623,-0.55252846869432,-0.190992128104305
2014-02-01,"Adv. Micro Devices",0.129520731816811,0.683262054834415,-0.537081114549096,0.228800177283134,-1.07153200264266,0.655358186972066,1.57966818169665,-0.734066317817295,0.117269304781026
2014-03-01,"Adv. Micro Devices",-0.427812769413649,2.76619892199645,-1.17506731528161,0.178069166651582,1.0281279906378,1.90746587481583,-0.67821528058191,0.418573326031463,0.123893764652096
2014-04-01,"Adv. Micro Devices",-0.68746999630018,4.30681265508892,-1.50871157900856,-0.576089089827164,0.452936696019904,1.47847058124805,0.901049043808428,0.94864001348742,0.0306699493054274
2014-05-01,"Adv. Micro Devices",-0.432301462080289,1.00216064757737,0.0342203750633274,-0.654214519607692,0.658323981751479,2.24055652542873,0.788217424793871,1.03816600813252,-0.0412730540294568
2014-06-01,"Adv. Micro Devices",0.149742479946681,-0.0332434267398298,0.477292278553477,-0.32392583826045,1.08320962801709,-0.0340091982038757,-0.138355433258099,-0.0105282710872245,0.0778631254666049
2014-07-01,"Adv. Micro Devices",-0.0264846006898125,0.948384563145211,-0.0681993710447557,-0.131583024106092,0.05719894600972,0.61613296326064,-0.606735912743758,0.328842728331892,-0.119881339358818
2014-08-01,"Adv. Micro Devices",0.81240408805013,-0.892377293273611,1.0071805342354,-0.480840542098647,0.0687943009304348,-0.0519314536688427,0.461861291952914,-0.597153360974502,0.109755582105725
2014-09-01,"Adv. Micro Devices",1.80434772053532,-0.521981386968775,2.58376234739421,-0.760638569989155,-0.229572073360472,2.21937779702426,-2.87119715332688,0.509945276527432,-0.320156703381809
2014-10-01,"Adv. Micro Devices",1.51186625984097,-3.97460843960731,2.0176961428198,-0.442092271984365,0.0767078945690258,0.296777134718937,-0.0382501125101982,-1.24276397023334,-0.256633581935706
2014-11-01,"Adv. Micro Devices",1.91308096653255,-2.23994165660507,3.21348153759919,0.295159466643938,0.96389095565057,1.61516197635534,-5.8665330317392,0.308774700090723,-0.00199531256381058
2014-12-01,"Adv. Micro Devices",2.11679534972525,-1.49263344502367,2.83435489818598,0.262914645515579,-0.500616315679068,0.876592606231029,-1.32290172568253,-4.76541788597696,-0.047150474768332
2015-01-01,"Adv. Micro Devices",2.19832388910046,3.31075408225664,2.26180887125903,-2.37653088812199,0.740168022757786,4.83458049121697,2.56404514576816,-0.580703984077928,-0.0353534891182787
2015-02-01,"Adv. Micro Devices",1.74962011156236,-4.56133175286845,0.999768902916401,-0.830748833764986,1.66924577587581,1.71187088336774,0.196912231936182,-1.28837406666658,0.226685404960373
2015-03-01,"Adv. Micro Devices",2.43721225192562,-7.10443781381024,2.10394422096064,-1.55418157861814,0.467504662616435,2.06726719088576,-0.099562696410004,-0.889773690278361,-0.18577236245988
2015-04-01,"Adv. Micro Devices",-0.801862406191958,1.91729825735939,-0.392141366501932,-0.283471329326517,-0.222607003833701,-0.866184510061032,0.32403051665716,-0.195790503512654,-0.178981569642839
2015-05-01,"Adv. Micro Devices",-1.16081376273085,-0.415347031492701,-0.714161532624331,1.01705671514503,1.28486332678973,-3.47523170193571,-1.72170313262683,-0.68461643500234,0.00529411079648701
2015-06-01,"Adv. Micro Devices",1.17460255122246,-0.818830295457118,1.4525165153602,0.529662483308414,0.643662082405854,1.31052322880652,-2.11951684787742,-0.865942819572695,0.0478374887136291
2015-07-01,"Adv. Micro Devices",2.07966574186896,-1.28279106965721,1.64909397385691,-0.631223554865102,1.49885105376742,0.987059102087514,1.20068164604511,-1.92265620408577,-0.199050206051425
2015-08-01,"Adv. Micro Devices",1.58945474132085,-6.61452054093033,-2.78711823318241,1.34270712031523,0.360735354384133,-1.13218537686393,1.06428168024279,-2.63524592755995,-0.0504097717184593
2015-09-01,"Adv. Micro Devices",0.50886106636662,-7.76767898036022,-1.98724674862819,0.644377693095038,-1.81985197184734,-0.463836525653321,2.86787651480124,-1.31919906284479,-0.0361821432559123
2015-10-01,"Adv. Micro Devices",-0.87155314226483,0.421423671103909,-0.581136044381878,-0.0764578925501809,-1.73033159214253,2.56387967244505,-0.434590492680826,1.13800332409961,0.167540093689682
2015-11-01,"Adv. Micro Devices",2.1304680408884,4.06536584123029,2.08082070074701,-2.01335509768137,3.3001981799198,1.01621296884808,-1.07398429798927,0.345739675672334,0.0997690967111475
2015-12-01,"Adv. Micro Devices",0.853755230182628,0.0892890959723616,-1.42904822579513,0.747424392811567,-1.91602975647082,-0.233360337581615,0.733192959310429,-1.52241562033485,0.215568703903239
2016-01-01,"Adv. Micro Devices",2.10064629847778,-1.24875672190898,-1.78164759748407,0.789077153585083,-3.07373345746475,0.198072045578584,3.71660896352158,-4.00408970602565,-0.281371192741478
2016-02-01,"Adv. Micro Devices",-1.59753889909403,1.73571988036602,-0.307524127545236,0.650077017519322,-2.18697081530077,-3.24771401561028,1.9541559549648,-2.31215354554801,-0.0240480644689888
